"fileid","fid","dist","ratio"
1158_31_4_1,1158,203,0.867521367521368
1159_31_5_1,1159,81,0.190140845070423
1159_31_5_2,1159,36,0.0684410646387833
1160_320_0_1,1160,77,0.846153846153846
1160_320_0_2,1160,52,0.666666666666667
116_1095_0_1,116,53,0.563829787234043
1161_320_1_1,1161,13,1
1162_320_2_1,1162,49,0.272222222222222
1162_320_2_2,1162,43,0.236263736263736
1163_321_0_1,1163,21,0.0972222222222222
1163_321_0_2,1163,21,0.2625
1164_321_1_1,1164,47,0.0814558058925477
1164_321_1_2,1164,236,0.361963190184049
1166_322_1_1,1166,35,1
1167_322_2_1,1167,20,1
1168_323_0_1,1168,18,0.818181818181818
1169_323_1_1,1169,14,1
1170_323_2_1,1170,55,0.404411764705882
1170_323_2_2,1170,60,1
117_1096_0_1,117,30,0.0523560209424084
117_1096_0_2,117,73,0.158695652173913
1171_323_3_1,1171,44,0.771929824561403
1172_323_4_1,1172,101,0.520618556701031
1173_323_5_1,1173,57,0.296875
1173_323_5_2,1173,55,0.509259259259259
1174_323_6_1,1174,20,1
1174_323_6_2,1174,20,1
1175_324_0_1,1175,76,0.608
1175_324_0_2,1175,99,1
1176_324_1_1,1176,23,0.884615384615385
1177_324_2_1,1177,52,0.0825396825396825
1178_324_3_1,1178,129,0.139308855291577
1178_324_3_2,1178,138,0.158438576349024
118_1097_0_1,118,74,0.0701421800947867
1181_324_6_2,1181,26,0.433333333333333
1182_324_7_1,1182,130,0.593607305936073
1182_324_7_2,1182,87,0.520958083832335
1183_325_0_1,1183,38,0.0670194003527337
1183_325_0_2,1183,49,0.0935114503816794
1185_325_2_1,1185,42,0.128048780487805
1185_325_2_2,1185,34,0.103658536585366
1189_325_6_1,1189,8,1
1189_325_6_2,1189,8,1
1190_325_7_1,1190,54,0.117391304347826
1190_325_7_2,1190,236,0.621052631578947
119_1098_0_1,119,2,0.0104712041884817
1191_326_0_1,1191,49,0.326666666666667
1191_326_0_2,1191,41,0.383177570093458
1192_326_1_1,1192,52,0.189090909090909
1194_327_0_1,1194,16,0.0402010050251256
1194_327_0_2,1194,19,0.0722433460076046
1195_327_1_1,1195,83,0.200968523002421
1195_327_1_2,1195,47,0.124668435013263
1196_327_2_1,1196,150,0.949367088607595
1197_328_0_1,1197,72,0.276923076923077
1198_328_1_1,1198,45,0.126404494382022
1199_328_2_1,1199,25,0.0659630606860158
1199_328_2_2,1199,22,0.0705128205128205
1200_328_3_1,1200,9,0.12
120_1099_0_1,120,11,0.0121816168327796
120_1099_0_2,120,2,0.00280504908835905
1201_329_0_1,1201,74,0.778947368421053
1201_329_0_2,1201,73,1
1202_329_1_1,1202,6,1
1203_32_0_1,1203,8,1
1203_32_0_2,1203,97,0.808333333333333
1204_330_0_1,1204,130,0.375722543352601
1205_331_0_1,1205,77,0.516778523489933
1206_332_0_1,1206,243,0.424825174825175
1206_332_0_2,1206,177,0.239837398373984
1207_333_0_1,1207,67,0.507575757575758
1208_334_0_1,1208,10,0.025974025974026
1208_334_0_2,1208,10,0.0301204819277108
12_1005_0_1,12,31,0.0893371757925072
1210_334_2_1,1210,108,0.514285714285714
121_109_0_1,121,6,1
1211_335_0_1,1211,32,1
1211_335_0_2,1211,78,0.906976744186046
1212_335_1_1,1212,7,0.0072463768115942
1213_335_2_1,1213,118,0.921875
1213_335_2_2,1213,104,1
1214_335_3_1,1214,42,0.466666666666667
1214_335_3_2,1214,39,0.672413793103448
1215_335_4_1,1215,39,0.0471584038694075
1215_335_4_2,1215,100,0.129032258064516
1220_336_2_1,1220,41,1
122_109_1_1,122,66,0.120879120879121
122_109_1_2,122,71,0.152360515021459
1221_336_3_1,1221,20,0.253164556962025
1221_336_3_2,1221,33,0.5
1222_336_4_1,1222,218,0.329305135951662
1223_336_5_1,1223,36,1
1224_337_0_1,1224,121,0.51271186440678
1224_337_0_2,1224,96,0.406779661016949
1226_337_2_1,1226,67,0.38953488372093
1226_337_2_2,1226,31,0.264957264957265
1227_338_0_1,1227,16,0.0304761904761905
1227_338_0_2,1227,51,0.104722792607803
1228_339_0_1,1228,31,0.0805194805194805
123_10_0_1,123,73,0.137476459510358
123_10_0_2,123,59,0.139479905437352
1231_33_1_1,1231,37,0.0866510538641686
1232_340_0_1,1232,103,0.811023622047244
1233_340_1_1,1233,78,0.325
1234_341_0_1,1234,156,0.539792387543253
1234_341_0_2,1234,65,0.236363636363636
1235_341_1_1,1235,51,1
1235_341_1_2,1235,77,0.616
1236_342_0_1,1236,10,0.036231884057971
1237_342_1_1,1237,2,1
1237_342_1_2,1237,3,1
1238_342_2_1,1238,5,1
1238_342_2_2,1238,8,0.205128205128205
1239_342_3_1,1239,5,1
1239_342_3_2,1239,25,0.641025641025641
124_1100_0_1,124,21,0.0243337195828505
124_1100_0_2,124,165,0.171161825726141
1241_342_5_1,1241,8,0.666666666666667
1241_342_5_2,1241,8,0.205128205128205
1242_343_0_1,1242,15,0.0253378378378378
1242_343_0_2,1242,23,0.027479091995221
1243_344_0_1,1243,76,0.0798319327731092
1243_344_0_2,1243,56,0.0774550484094053
1244_345_0_1,1244,140,0.29535864978903
1244_345_0_2,1244,39,0.0530612244897959
1245_345_1_1,1245,33,0.127906976744186
