ogc_fid,page_no,track_id,start_lon,start_lat,end_lon,end_lat
2045,611,2,11.4265983,48.0656766,11.6931916,48.1877783
2046,611,3,11.558066,48.142888,11.563207,48.139674
2047,611,4,11.5431675,48.1321905,11.5334369,48.1333406
2048,612,0,11.5334043,48.1333618,11.544401,48.1324121
2049,612,1,11.574359,48.160399,11.579044,48.127096
2050,613,0,11.579026,48.127329,11.589331,48.176234
2051,613,1,11.5890042,48.1245838,11.6822255,48.1893067
2052,614,0,11.6822987,48.1892982,11.7228732,48.1705929
2053,614,1,11.507573,48.151449,11.360827,48.114117
2054,614,2,11.7064683,48.0617416,11.6556675,48.2330043
2055,615,0,11.6556285,48.2330157,11.67313,48.15645
2056,616,0,11.67342,48.15648,11.5970383,48.172845
2057,616,1,11.5442406,48.1324282,11.5110854,48.1616762
2058,617,0,11.5110442,48.1617077,11.5443503,48.1324306
2059,617,1,11.707337,48.113573,11.722142,48.24498
2060,617,2,11.4740275,48.061748,11.3988902,48.2036001
2061,618,0,11.3985951,48.2037888,11.4733919,48.0618168
2062,618,1,11.5938866,48.1310916,11.3821433,48.0660583
2063,619,0,11.381795,48.0661316,11.7228099,48.0916923
2064,619,1,11.646492,48.08808,11.625192,48.0617248
2065,619,2,11.5440796,48.1325052,11.5478267,48.1356356
2066,61,0,11.586033,48.178604,11.5787114,48.2482079
2067,61,1,11.6059253,48.128024,11.7227093,48.1131906
2068,61,2,11.526671,48.077232,11.555801,48.124237
2069,620,0,11.5478613,48.1356625,11.5480941,48.1588316
2070,621,0,11.5481269,48.1588044,11.5443443,48.1324112
2071,621,1,11.641454,48.245698,11.6024227,48.1586647
2072,622,0,11.6023263,48.158802,11.54416,48.110466
2073,623,0,11.544188,48.110363,11.6943096,48.1284701
2074,624,0,11.6942513,48.1284522,11.568021,48.22724
2075,625,0,11.567526,48.227217,11.5835266,48.1809082
2076,626,0,11.5835084,48.1809043,11.3659296,48.1295127
2077,627,0,11.3659429,48.1294975,11.5590934,48.1409111
2078,628,0,11.5590753,48.1408843,11.6157533,48.1435466
2079,629,0,11.6157883,48.1437533,11.575591,48.110025
2080,62,0,11.555807,48.12429,11.558682,48.139545
2081,62,1,11.7228232,48.1304174,11.7228585,48.1033289
2082,62,2,11.722844,48.123479,11.722873,48.103272
2083,62,3,11.660424,48.076084,11.59752,48.067963
2084,630,0,11.575665,48.110162,11.671598,48.141199
2085,631,0,11.671598,48.141199,11.427612,48.104929
2086,631,1,11.3947321,48.1376329,11.5051304,48.1522546
2087,631,2,11.5327088,48.2480759,11.4371192,48.1943116
2088,632,0,11.4371773,48.1940484,11.448919,48.1414018
2089,632,1,11.4486319,48.1416078,11.3670651,48.1310181
2090,632,2,11.641665,48.2460683,11.7069133,48.0618533
2091,632,3,11.707888,48.062135,11.641452,48.244808
2092,632,4,11.57448,48.14488,11.643,48.24813
2093,632,5,11.474783,48.062516,11.635768,48.194258
2094,633,0,11.635981,48.194656,11.5273562,48.1149419
2095,634,0,11.5273546,48.1149474,11.5488761,48.1129112
2096,635,0,11.5488652,48.1129541,11.5980755,48.1451923
2097,636,0,11.5980926,48.1448731,11.571027,48.13835
2098,637,0,11.57101,48.138357,11.446558,48.242209
2099,638,0,11.446651,48.24192,11.572962,48.1383978
2100,639,0,11.5729471,48.1383693,11.671288,48.238088
2101,63,0,11.597672,48.067932,11.6737683,48.2284053
2102,63,1,11.6152181,48.1853542,11.5190399,48.1473436
2103,640,0,11.671856,48.238077,11.558685,48.1188666
2104,641,0,11.5587583,48.1188883,11.6184733,48.167065
2105,642,0,11.61839,48.1670916,11.4531161,48.2045616
2106,643,0,11.4537448,48.2046153,11.448,48.1303716
2107,644,0,11.4479849,48.1303233,11.464495,48.130263
2108,645,0,11.464498,48.130219,11.475783,48.141216
2109,646,0,11.47579,48.141281,11.475848,48.14338
2110,647,0,11.475848,48.14338,11.4744383,48.1599383
2111,648,0,11.4745849,48.1598733,11.548392,48.168174
2112,649,0,11.548391,48.168179,11.547646,48.166187
2113,64,0,11.6737445,48.2284442,11.6366107,48.0619903
2114,64,1,11.6659141,48.1059637,11.6660367,48.1059444
2115,64,2,11.5775246,48.142347,11.5850864,48.1325272
2116,650,0,11.547651,48.166191,11.390843,48.208602
2117,651,0,11.39053,48.208773,11.5399627,48.0803794
2118,652,0,11.5399122,48.0803184,11.3894187,48.2077823
2119,653,0,11.3895174,48.207845,11.5757793,48.1377829
2120,654,0,11.5757768,48.1377506,11.362607,48.20416
2121,655,0,11.362727,48.20418,11.5442901,48.1324135
2122,655,1,11.576553,48.147979,11.441182,48.17044
2123,656,0,11.44101,48.170371,11.360807,48.226096
2124,656,1,11.3940352,48.2450046,11.548818,48.092002
2125,657,0,11.548819,48.092002,11.4617883,48.1501083
2126,658,0,11.4617533,48.1500817,11.461934,48.17723
2127,659,0,11.461929,48.177228,11.53017,48.171767
2128,65,0,11.5850701,48.1325106,11.5774908,48.1425252
2129,65,1,11.532874,48.167557,11.54001,48.173893
2130,660,0,11.530101,48.171807,11.575451,48.134977
2131,661,0,11.575436,48.134972,11.410681,48.130775
2132,662,0,11.410256,48.130648,11.428604,48.176967
2133,663,0,11.429195,48.177492,11.59223,48.08853
2134,664,0,11.592084,48.088767,11.5277547,48.1264414
2135,665,0,11.5277656,48.1264406,11.572515,48.138013
2136,666,0,11.57252,48.138002,11.5823082,48.1879715
2137,667,0,11.5823082,48.1879715,11.6131383,48.1873199
2138,668,0,11.6129765,48.1873832,11.587738,48.212113
2139,669,0,11.587704,48.211943,11.545983,48.126762
2140,66,0,11.540112,48.174,11.3609294,48.22172
2141,670,0,11.546287,48.126703,11.5519066,48.148825
2142,671,0,11.5517383,48.14886,11.5227063,48.1305131
2143,672,0,11.5227219,48.1305101,11.526747,48.1288103
2144,673,0,11.5267281,48.1288261,11.454737,48.248002
2145,674,0,11.454734,48.247979,11.493325,48.2100615
2146,675,0,11.4936815,48.2101649,11.360973,48.148593
2147,675,1,11.3608014,48.1139394,11.5056443,48.12552
2148,676,0,11.5059229,48.1254902,11.5741335,48.1098992
2149,676,1,11.493439,48.116608,11.3878743,48.064685
2150,677,0,11.3878964,48.0646808,11.3808944,48.0630432
2151,678,0,11.3808992,48.0630976,11.709384,48.1716111
2152,679,0,11.709355,48.171592,11.537652,48.064279
2153,67,0,11.3609289,48.2217204,11.6716909,48.1377664
2154,67,1,11.4742109,48.062032,11.6429629,48.2477279
2155,680,0,11.537582,48.064229,11.555912,48.14078
2156,681,0,11.55591,48.14078,11.393639,48.14201
2157,682,0,11.393731,48.142015,11.6377153,48.113903
2158,682,1,11.5740491,48.1098645,11.3609343,48.1141367
2159,683,0,11.6377162,48.1139411,11.6243183,48.17918
2160,684,0,11.62439,48.17915,11.5070453,48.171515
2161,685,0,11.5071027,48.1714911,11.58733,48.1433216
2162,686,0,11.587185,48.1433633,11.6422833,48.163365
2163,687,0,11.6422816,48.1633683,11.5237516,48.1325833
2164,688,0,11.5234183,48.1324533,11.3948721,48.1611741
2165,689,0,11.3947488,48.1614557,11.561115,48.1434
2166,689,1,11.5761426,48.111245,11.5729572,48.110181
2167,68,0,11.6713369,48.1378245,11.5174371,48.0674577
2168,68,1,11.595925,48.063904,11.362334,48.114544
2169,690,0,11.561115,48.1434,11.538439,48.171844
2170,691,0,11.538394,48.171642,11.629899,48.155529
2171,692,0,11.629914,48.155453,11.505327,48.160362
2172,693,0,11.50529,48.160375,11.570513,48.132281
2173,694,0,11.570646,48.132382,11.575836,48.111525
2174,695,0,11.575836,48.111539,11.561512,48.117151
2175,696,0,11.561397,48.117046,11.576921,48.11676
2176,697,0,11.576888,48.116546,11.514663,48.10897
2177,698,0,11.514825,48.109052,11.49457,48.0992936
2178,699,0,11.4947223,48.0993641,11.4854519,48.11069
2179,69,0,11.5174642,48.0674092,11.6608189,48.2229482
2180,6,0,11.5544619,48.1275645,11.5802515,48.2315663
2181,700,0,11.4854376,48.1106743,11.5229433,48.2229904
2182,701,0,11.5238111,48.2232111,11.494757,48.072905
2183,702,0,11.4947234,48.0729105,11.615106,48.235743
2184,703,0,11.615103,48.23574,11.661274,48.246325
2185,704,0,11.661273,48.246325,11.363221,48.128875
2186,705,0,11.363219,48.128874,11.502572,48.158167
2187,706,0,11.502564,48.158169,11.482938,48.15737
2188,707,0,11.482928,48.157364,11.503566,48.157961
2189,708,0,11.503566,48.15796,11.489579,48.154298
2190,709,0,11.489545,48.154296,11.605553,48.200609
2191,709,1,11.6368678,48.0888586,11.636582,48.0887133
2192,70,0,11.6608214,48.2229492,11.3988449,48.1667377
2193,710,0,11.605094,48.200661,11.7146517,48.1869016
2194,711,0,11.7149839,48.1867529,11.5025794,48.1188499
2195,712,0,11.5025809,48.1188937,11.463919,48.22971
2196,713,0,11.463919,48.22971,11.676878,48.092178
2197,713,1,11.5741912,48.109912,11.595213,48.0618344
2198,714,0,11.676878,48.092228,11.660598,48.194909
2199,715,0,11.660314,48.193713,11.5376734,48.2298779
2200,716,0,11.537644,48.2298369,11.5339967,48.1082545
2201,717,0,11.5339831,48.1082099,11.5566414,48.1745638
2202,718,0,11.556621,48.174548,11.6182744,48.1995136
2203,719,0,11.6180016,48.1989664,11.3988239,48.2249272
2204,719,1,11.36095,48.225977,11.705984,48.06162
2205,719,2,11.360814,48.225986,11.706051,48.061709
2206,719,3,11.595556,48.061778,11.360819,48.114065
2207,71,0,11.3988399,48.166742,11.4071459,48.1784185
2208,71,1,11.361024,48.22586,11.6203379,48.2245339
2209,720,0,11.3987434,48.2250088,11.491207,48.084685
2210,721,0,11.491119,48.084704,11.466628,48.191284
2211,722,0,11.466629,48.191285,11.457363,48.140886
2212,723,0,11.45736,48.14089,11.5720899,48.1239316
2213,724,0,11.5721199,48.1239516,11.5996506,48.1202497
2214,725,0,11.5996512,48.1202129,11.6119909,48.2086029
2215,726,0,11.6118984,48.2085952,11.5311883,48.111925
2216,727,0,11.5312066,48.1119283,11.4315409,48.1031507
2217,728,0,11.4316762,48.1031831,11.567585,48.077918
2218,729,0,11.56749,48.077853,11.5236283,48.0952333
2219,72,0,11.620704,48.224411,11.70635,48.061756
2220,72,1,11.706862,48.061744,11.361114,48.226089
2221,72,2,11.5929193,48.1760737,11.4521356,48.0782873
2222,730,0,11.5236283,48.0952333,11.528508,48.172723
2223,731,0,11.528508,48.172725,11.399542,48.140783
2224,732,0,11.399493,48.140861,11.5773153,48.1616973
2225,733,0,11.5772638,48.1615028,11.540683,48.069573
2226,734,0,11.540702,48.069556,11.417024,48.075054
