ogc_fid,page_no,track_id,summary,distance,duration,walking_distance,walking_duration,geojson,switch_points,existence
33,1020,0,"Driving, parking and walking",20919.440221720615,32.964957469706455,116.78865641640999,1.5572570855482417,33_1020_0_1.geojson,1,TRUE
33,1020,0,Walking,16705.128738316842,222.73504984366787,16705.128738316842,222.73504984366787,33_1020_0_2.geojson,0,TRUE
34,1021,0,Walking,17863.755062984146,238.18340083919324,17863.755062984146,238.18340083919324,34_1021_0_1.geojson,0,TRUE
35,1022,0,"Driving, parking and walking",9681.98011281011,25.207478737988044,453.92126114882,6.052358481969137,35_1022_0_1.geojson,1,TRUE
35,1022,0,Walking,9575.065291034532,127.66753721347457,9575.065291034532,127.66753721347457,35_1022_0_2.geojson,0,TRUE
36,1023,0,Walking,15795.667431128375,210.60889908118511,15795.667431128375,210.60889908118511,36_1023_0_1.geojson,0,TRUE
37,1024,0,Walking,16939.32808110353,225.85770774748224,16939.32808110353,225.85770774748224,37_1024_0_1.geojson,0,TRUE
38,1025,0,Walking,13587.795308133593,181.1706041079949,13587.795308133593,181.1706041079949,38_1025_0_1.geojson,0,TRUE
43,102,0,"Driving, parking and walking",18758.83372455423,43.54090360554955,743.84451694867,9.91800189262414,43_102_0_1.geojson,1,TRUE
43,102,0,Walking,14631.92328468662,195.09231046200034,14631.92328468662,195.09231046200034,43_102_0_2.geojson,0,TRUE
44,1030,0,"Driving, parking and walking",19080.911852458667,44.788499801263576,997.70580178812,13.302819023808343,44_1030_0_1.geojson,1,TRUE
45,1031,0,"Driving, parking and walking",4375.7316453393605,12.02452581132265,207.35206640124,2.7647692186762898,45_1031_0_1.geojson,1,TRUE
45,1031,0,Walking,3960.4035712624705,52.805380950034255,3960.4035712624705,52.805380950034255,45_1031_0_2.geojson,0,TRUE
46,1032,0,Walking,9148.550441855497,121.98067255776841,9148.550441855497,121.98067255776841,46_1032_0_1.geojson,0,TRUE
47,1033,0,"Driving, parking and walking",22530.39188936203,60.29986573705054,1409.96104709827,18.799555627929937,47_1033_0_1.geojson,1,TRUE
47,1033,0,Walking,17169.98180779302,228.93309077000126,17169.98180779302,228.93309077000126,47_1033_0_2.geojson,0,TRUE
48,1034,0,"Driving, parking and walking",22354.42056781113,55.26050778715146,909.0376952188901,12.120577602888233,48_1034_0_1.geojson,1,TRUE
48,1034,0,Walking,20602.759405747158,274.70345874260886,20602.759405747158,274.70345874260886,48_1034_0_2.geojson,0,TRUE
49,1035,0,"Driving, parking and walking",19536.09029631879,51.309980112632786,1283.86921697522,17.11833122629347,49_1035_0_1.geojson,1,TRUE
49,1035,0,Walking,15900.620196413824,212.00826928498756,15900.620196413824,212.00826928498756,49_1035_0_2.geojson,0,TRUE
